16b6f4b,eeue56,7 weeks ago,bug fixes
5ac87d6,eeue56,7 weeks ago,working server now
55e56c2,eeue56,7 weeks ago,updated with bug fixes
61e3fa8,eeue56,7 weeks ago,updated to log more
a35147f,eeue56,7 weeks ago,added workaround method for different handlers
77e5c7f,eeue56,7 weeks ago,durp
538c5e6,eeue56,7 weeks ago,adding gitignore
d9dc1f8,eeue56,7 weeks ago,minor fixes
229645a,eeue56,7 weeks ago,minor bug fix
8d80f54,eeue56,7 weeks ago,minor bug fix
022ea6f,eeue56,7 weeks ago,updated server to work with fallback mode
f378aaa,lilrooness,8 weeks ago,Added target room data to send message template
b86dfee,lilrooness,8 weeks ago,fixed messed up template caused by weird push
c877c15,lilrooness,8 weeks ago,added commands ping, join and the service pong
890f827,lilrooness,8 weeks ago,added commands ping, join and the service pong
e4758f5,eeue56,8 weeks ago,updating messages
26da1e1,eeue56,8 weeks ago,Why wont this work?
fdf57ac,eeue56,8 weeks ago,updating server
7fbac6f,eeue56,8 weeks ago,updated haproxy to work slightly better and log
f5baaab,eeue56,8 weeks ago,renamed to stop interferring with python exceptions
3922bd7,eeue56,8 weeks ago,adding haproxy config
a8c834d,eeue56,8 weeks ago,adding configs to our repo
23e8190,eeue56,8 weeks ago,updated readme a bit
577e624,eeue56,8 weeks ago,something to do with Mac I guess? not needed
59262f5,eeue56,8 weeks ago,updated to work with rooms, added logging
66813ed,eeue56,8 weeks ago,Adding a room class - this is where most of the handling of clients will be done, but it will be abstract from the actual connections
0621168,eeue56,8 weeks ago,adding exceptions file
0bda6b6,Lilrooness,8 weeks ago,Fixed small typo
08ca7d4,lilrooness,8 weeks ago,added JSON template in server folder called JSON_Template.txt
7a54138,lilrooness,8 weeks ago,Able to add rooms users and messages using functions from updates.py
5d0c60e,eeue56,8 weeks ago,adding dan and peterss work on the client
62c1e2f,eeue56,8 weeks ago,No need to provide send time, the DB can do that for you
5d1e5ed,eeue56,8 weeks ago,rename fields
0dc253d,eeue56,8 weeks ago,rename
a9f0cae,eeue56,8 weeks ago,updated to python conventions and minor fixes
49fa6c7,lilrooness,8 weeks ago,New update class for updating database
6bbb8f9,eeue56,8 weeks ago,adding nick parsing
65385b2,eeue56,8 weeks ago,added html file to test server
2fe0f90,eeue56,8 weeks ago,updated database installer
febe5db,eeue56,8 weeks ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
b0a0a8d,eeue56,8 weeks ago,updated handling of clients
db23725,lilrooness,8 weeks ago,Added database setup files
c2f2348,eeue56,8 weeks ago,updating to select from users
173ab1e,eeue56,8 weeks ago,adding stuff
ebf24e5,eeue56,8 weeks ago,added base server
56cdf45,eeue56,8 weeks ago,Initial commit
